room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price
Entire home/apt,13,4,47,4.5,14,4,238
Entire home/apt,12,15,47,5,16,6,214
Entire home/apt,15,2,1,0,4,1,274
Entire home/apt,12,19,0,0,7,4,262
Entire home/apt,13,2,1,0,11,4,238
Entire home/apt,14,8,4,4.5,8,4,238
Entire home/apt,4,38,48,5,8,4,298
Entire home/apt,4,36,2,0,4,1,208
Entire home/apt,12,5,2,0,12,6,297
Entire home/apt,12,16,37,5,8,4,214
Entire home/apt,12,21,18,5,5,2,256
Entire home/apt,3,49,63,4.5,10,4,238
Entire home/apt,14,8,20,5,8,3,208
Entire home/apt,7,15,1,0,4,2,298
Entire home/apt,12,16,1,0,5,3,298
Entire home/apt,15,1,41,5,11,6,298
Entire home/apt,4,24,39,4.5,12,5,232
Entire home/apt,12,15,79,5,9,4,208
Entire home/apt,12,16,38,5,10,5,285
Entire home/apt,7,15,35,5,6,3,238
Entire home/apt,14,7,7,4.5,6,2,238
Entire home/apt,7,15,0,0,10,5,238
Entire home/apt,2,25,21,5,14,5,238
Entire home/apt,12,20,0,0,8,3,298
Entire home/apt,13,3,2,0,8,3,298
Entire home/apt,12,13,3,5,12,5,236
Entire home/apt,1,16,19,5,6,3,249
Entire home/apt,4,43,27,4.5,11,6,298
Entire home/apt,12,20,51,4.5,6,3,238
Entire home/apt,12,17,133,4.5,14,4,285
Entire home/apt,7,14,7,5,8,4,244
Entire home/apt,12,15,1,0,6,3,214
Entire home/apt,14,8,0,0,4,2,238
Entire home/apt,12,18,27,4.5,14,3,190
Entire home/apt,15,4,6,5,4,1,203
Entire home/apt,12,20,0,0,6,4,203
Entire home/apt,14,1,7,5,6,2,191
Entire home/apt,13,2,0,0,4,1,191
Entire home/apt,15,2,1,0,4,0,197
Entire home/apt,2,3,3,5,8,3,190
Entire home/apt,15,4,10,4.5,4,1,203
Entire home/apt,12,16,0,0,8,3,203
Entire home/apt,15,2,12,5,4,2,203
Entire home/apt,9,5,2,0,7,3,191
Entire home/apt,12,16,23,5,15,4,199
Entire home/apt,10,53,22,5,8,4,191
Entire home/apt,13,3,133,5,6,2,188
Entire home/apt,13,2,214,5,4,1,191
Entire home/apt,2,11,23,5,10,4,190
Entire home/apt,4,36,1,0,4,1,197
Entire home/apt,5,16,1,0,6,3,203
Entire home/apt,7,10,10,5,12,5,185
Entire home/apt,15,2,0,0,7,2,201
Entire home/apt,12,16,45,4.5,8,2,149
Entire home/apt,12,19,9,3.5,8,2,149
Entire home/apt,12,22,1,0,6,2,149
Entire home/apt,14,5,2,0,6,3,161
Entire home/apt,15,2,0,0,4,0,152
Entire home/apt,5,10,1,0,8,5,178
Entire home/apt,15,2,0,0,4,0,149
Entire home/apt,2,11,1,0,4,2,149
Entire home/apt,15,4,3,4,6,0,155
Entire home/apt,5,13,9,4.5,6,3,178
Entire home/apt,6,9,0,0,2,1,155
Entire home/apt,2,40,21,5,4,1,151
Entire home/apt,5,4,20,4.5,6,3,161
Entire home/apt,4,34,3,4.5,4,0,150
Entire home/apt,13,2,28,4.5,8,4,178
Entire home/apt,15,5,0,0,4,1,178
Entire home/apt,9,3,9,5,6,3,178
Entire home/apt,15,4,2,0,4,1,178
Entire home/apt,5,4,0,0,4,2,178
Entire home/apt,4,13,1,0,6,2,178
Entire home/apt,8,4,28,4.5,16,5,153
Entire home/apt,2,12,190,4.5,10,5,178
Entire home/apt,5,11,0,0,6,2,161
Entire home/apt,13,2,0,0,4,1,149
Entire home/apt,11,62,0,0,9,5,178
Entire home/apt,14,1,49,4.5,5,2,163
Entire home/apt,5,8,0,0,4,1,160
Entire home/apt,5,8,0,0,8,2,161
Entire home/apt,5,1,0,0,6,2,178
Entire home/apt,8,1,1,0,10,4,178
Entire home/apt,14,6,9,5,6,2,155
Entire home/apt,3,21,1,0,8,2,167
Entire home/apt,13,2,10,5,5,2,149
Entire home/apt,9,5,2,0,8,4,174
Entire home/apt,14,9,17,5,5,2,155
Entire home/apt,12,17,57,4.5,10,5,184
Entire home/apt,6,26,11,5,9,4,162
Entire home/apt,7,6,8,5,8,3,177
Entire home/apt,4,14,14,4.5,10,5,178
Entire home/apt,14,4,100,5,5,2,170
Entire home/apt,14,1,5,5,6,1,184
Entire home/apt,2,44,3,4.5,9,2,178
Entire home/apt,8,2,6,4.5,8,4,161
Entire home/apt,13,2,0,0,4,1,167
Entire home/apt,12,16,0,0,6,2,161
Entire home/apt,11,21,0,0,4,2,178
Entire home/apt,12,20,3,4.5,4,1,161
Entire home/apt,5,14,2,0,4,2,167
Entire home/apt,5,12,12,5,5,1,163
Entire home/apt,15,4,17,4.5,6,3,167
Entire home/apt,4,37,0,0,8,5,178
Entire home/apt,12,15,22,5,5,2,149
Entire home/apt,12,18,29,4.5,14,4,170
Entire home/apt,14,6,55,4.5,4,2,178
Entire home/apt,12,18,18,5,14,4,166
Entire home/apt,12,16,24,5,16,5,166
Entire home/apt,13,2,2,0,4,1,155
Entire home/apt,5,4,21,5,4,1,158
Entire home/apt,12,16,16,5,13,4,170
Entire home/apt,13,4,27,4.5,4,2,178
Entire home/apt,14,9,34,5,6,2,167
Entire home/apt,3,20,0,0,6,3,167
Entire home/apt,12,13,29,4.5,15,5,177
Entire home/apt,4,40,11,5,2,0,149
Entire home/apt,14,7,4,4.5,5,2,161
Entire home/apt,14,7,73,5,7,2,167
Entire home/apt,3,19,0,0,6,3,178
Entire home/apt,15,4,12,5,2,0,178
Entire home/apt,12,18,18,5,8,4,178
Entire home/apt,7,15,21,5,8,3,155
Entire home/apt,13,3,106,5,4,3,184
Entire home/apt,3,54,3,5,6,3,178
Entire home/apt,4,12,3,4.5,10,3,178
Entire home/apt,4,34,3,5,2,0,161
Entire home/apt,13,2,107,4.5,8,3,178
Entire home/apt,15,3,12,5,4,2,167
Entire home/apt,14,1,27,4.5,6,2,155
Entire home/apt,3,30,0,0,8,5,155
Entire home/apt,15,2,1,0,4,2,149
Entire home/apt,2,33,0,0,2,1,178
Entire home/apt,12,13,51,5,10,6,173
Entire home/apt,10,32,15,4.5,9,4,155
Entire home/apt,12,19,28,4.5,9,3,178
Entire home/apt,14,2,39,4.5,5,3,155
Entire home/apt,13,2,20,5,8,3,178
Entire home/apt,12,16,0,0,8,3,155
Entire home/apt,5,8,2,0,4,1,160
Entire home/apt,15,5,2,0,5,2,167
Entire home/apt,10,85,50,4.5,9,5,178
Entire home/apt,14,6,0,0,6,2,167
Entire home/apt,2,34,11,4.5,5,2,178
Entire home/apt,10,88,2,0,8,3,178
Entire home/apt,7,6,4,4.5,6,2,177
Entire home/apt,15,5,1,0,9,2,167
